"Donate ID","Donate Date","Gender","Deposit Amount","Preferred Color of Device","Ice Cream Products Consumed Per Week","Favorite Flavor Of Ice Cream","Donated To Kick Starter Before","Household Income","Do you own a Keurig","How many desserts do you eat a week","Purchased"
35,2019-07-01,"female",100,"black",1,"no preference","yes","<100K","yes",4,0
36,2019-07-01,"female",100,"white",5,"chocolate","yes","<100K","yes",5,1
37,2019-07-01,"female",100,"black",8,"no preference","yes","<50K","yes",8,1
38,2019-07-01,"male",100,"red",6,"vanilla","yes","<50K","yes",6,0
39,2019-07-01,"male",100,"no preference",8,"swirl","yes","Not Reported","yes",8,0
40,2019-07-01,"female",100,"red",5,"specialty","yes","Not Reported","yes",5,0
41,2019-07-01,"male",100,"blue",10,"vanilla","yes","Not Reported","yes",10,1
42,2019-07-01,"male",100,"black",1,"specialty","yes","Not Reported","yes",6,0
43,2019-07-01,"male",100,"no preference",3,"specialty","yes","Not Reported","yes",3,0
44,2019-07-01,"male",100,"blue",9,"vanilla","yes","Not Reported","yes",9,1
45,2019-07-01,"male",100,"no preference",5,"specialty","yes","Not Reported","yes",10,0
46,2019-07-01,"female",100,"red",1,"chocolate","yes","Not Reported","yes",9,1
47,2019-07-01,"male",100,"silver",1,"chocolate","yes","Not Reported","yes",9,1
48,2019-07-01,"male",100,"blue",0,"vanilla","yes","Not Reported","yes",6,0
49,2019-07-01,"male",100,"silver",8,"specialty","yes","Not Reported","yes",8,1
50,2019-07-01,"male",100,"no preference",8,"chocolate","yes","Not Reported","yes",8,0
51,2019-07-01,"male",100,"silver",9,"specialty","yes","Not Reported","yes",9,1
52,2019-07-01,"female",100,"red",0,"no preference","yes","Not Reported","yes",7,0
53,2019-07-01,"female",100,"red",5,"chocolate","yes","Not Reported","yes",5,1
54,2019-07-01,"male",100,"blue",5,"no preference","yes","Not Reported","yes",9,0
55,2019-07-01,"male",100,"white",7,"swirl","yes","Not Reported","yes",7,1
56,2019-07-01,"male",100,"white",3,"no preference","yes","Not Reported","yes",7,0
57,2019-07-01,"male",100,"no preference",5,"no preference","yes","Not Reported","yes",5,0
58,2019-07-01,"male",100,"red",2,"vanilla","yes","Not Reported","yes",9,1
59,2019-07-01,"female",100,"red",5,"vanilla","yes","Not Reported","yes",9,1
60,2019-07-01,"male",100,"white",4,"vanilla","yes","Not Reported","yes",9,1
61,2019-07-01,"female",100,"red",1,"vanilla","yes","Not Reported","yes",10,1
62,2019-07-01,"male",100,"red",0,"chocolate","yes","Not Reported","yes",9,1
63,2019-07-01,"female",100,"no preference",5,"no preference","yes","Not Reported","yes",5,0
64,2019-07-01,"male",100,"white",5,"swirl","yes","Not Reported","yes",5,0
65,2019-07-01,"male",100,"black",0,"swirl","yes","Not Reported","yes",1,1
66,2019-07-01,"male",100,"silver",4,"specialty","yes","Not Reported","yes",7,1
67,2019-07-01,"female",100,"white",6,"no preference","yes","Not Reported","yes",10,0
68,2019-07-01,"male",100,"red",4,"vanilla","yes","Not Reported","yes",5,1
69,2019-07-01,"female",100,"white",5,"chocolate","yes","Not Reported","yes",6,1
70,2019-07-01,"male",100,"white",7,"chocolate","yes","Not Reported","yes",10,1
71,2019-07-01,"male",100,"white",7,"chocolate","yes","<100K","yes",10,1
72,2019-07-01,"male",100,"red",4,"chocolate","yes","<100K","yes",5,1
73,2019-07-01,"female",100,"white",4,"chocolate","yes","<100K","yes",5,1
74,2019-07-01,"male",100,"blue",9,"chocolate","yes","<100K","yes",9,1
75,2019-07-01,"male",100,"white",0,"chocolate","yes","<100K","yes",6,1
76,2019-07-01,"female",100,"white",3,"chocolate","yes","<100K","yes",9,1
77,2019-07-01,"female",100,"silver",10,"chocolate","yes","<100K","yes",10,1
78,2019-07-01,"female",100,"silver",3,"chocolate","yes","<100K","yes",7,1
79,2019-07-01,"male",100,"silver",2,"chocolate","yes","<100K","yes",10,1
80,2019-07-01,"male",100,"white",1,"chocolate","yes","<100K","yes",8,1
81,2019-07-01,"male",100,"red",0,"chocolate","yes","<100K","yes",5,1
82,2019-07-01,"male",100,"silver",4,"chocolate","yes","<100K","yes",10,1
83,2019-07-01,"male",100,"no preference",2,"chocolate","yes","<100K","yes",8,0
84,2019-07-01,"male",100,"silver",0,"chocolate","yes","<100K","yes",8,1
85,2019-07-01,"female",100,"no preference",2,"chocolate","yes","<100K","yes",9,0
86,2019-07-01,"female",100,"silver",8,"chocolate","yes","Not Reported","yes",10,1
87,2019-07-01,"female",100,"no preference",6,"chocolate","yes","Not Reported","yes",6,0
88,2019-07-01,"female",100,"red",10,"vanilla","yes","Not Reported","yes",10,1
89,2019-07-01,"male",100,"silver",10,"swirl","yes","Not Reported","yes",10,1
90,2019-07-01,"male",100,"no preference",2,"chocolate","yes","Not Reported","yes",6,0
91,2019-07-01,"male",100,"blue",5,"no preference","yes","Not Reported","yes",5,0
92,2019-07-01,"male",100,"blue",1,"chocolate","yes","Not Reported","yes",6,1
93,2019-07-01,"male",100,"blue",3,"vanilla","yes","Not Reported","yes",7,0
94,2019-07-01,"male",100,"no preference",10,"vanilla","yes","Not Reported","yes",10,0
95,2019-07-01,"male",100,"blue",10,"no preference","yes","Not Reported","yes",10,1
96,2019-07-01,"female",100,"white",3,"vanilla","yes","<100K","yes",6,1
97,2019-07-01,"female",100,"blue",6,"vanilla","yes","<100K","yes",6,1
98,2019-07-01,"female",100,"white",8,"vanilla","yes","<100K","yes",8,1
99,2019-07-01,"male",100,"black",7,"vanilla","yes","Not Reported","yes",9,1
100,2019-07-01,"female",100,"no preference",1,"swirl","yes","<100K","yes",5,0
101,2019-07-01,"female",100,"red",5,"specialty","yes","<100K","yes",5,0
102,2019-07-01,"female",100,"blue",9,"specialty","yes","<100K","yes",10,1
103,2019-07-01,"female",100,"silver",8,"specialty","yes","<100K","yes",8,1
104,2019-07-01,"female",100,"red",3,"swirl","yes","<100K","yes",9,1
105,2019-07-01,"male",100,"silver",3,"specialty","yes","Not Reported","yes",6,1
106,2019-07-01,"male",100,"blue",5,"vanilla","yes","Not Reported","yes",5,0
107,2019-07-01,"female",100,"blue",0,"vanilla","yes","<100K","yes",7,1
108,2019-07-01,"female",100,"no preference",5,"vanilla","yes","<100K","yes",10,0
109,2019-07-01,"male",100,"no preference",7,"vanilla","yes","Not Reported","yes",8,0
110,2019-07-01,"female",100,"no preference",2,"vanilla","yes","<100K","yes",6,0
111,2019-07-01,"female",100,"silver",0,"vanilla","yes","<100K","yes",2,1
112,2019-07-01,"female",100,"silver",6,"vanilla","yes","<100K","yes",6,0
113,2019-07-01,"male",100,"red",6,"vanilla","yes","Not Reported","no",6,0
114,2019-07-01,"male",100,"black",9,"vanilla","yes","Not Reported","no",9,1
115,2019-07-01,"female",100,"red",6,"vanilla","yes","<100K","yes",10,1
116,2019-07-01,"male",100,"white",9,"vanilla","yes","Not Reported","yes",9,1
117,2019-07-01,"female",100,"blue",2,"vanilla","yes","<100K","yes",5,1
118,2019-07-01,"male",100,"red",8,"vanilla","yes","Not Reported","yes",8,1
119,2019-07-01,"male",100,"red",5,"vanilla","yes","Not Reported","yes",5,0
120,2019-07-01,"female",100,"silver",0,"vanilla","yes","<100K","yes",10,1
121,2019-07-01,"male",100,"red",2,"vanilla","yes","Not Reported","yes",7,0
122,2019-07-01,"female",100,"no preference",4,"vanilla","yes","<100K","yes",4,0
123,2019-07-01,"male",100,"red",1,"vanilla","yes","Not Reported","yes",5,0
124,2019-07-01,"female",100,"white",3,"vanilla","yes","<100K","yes",7,1
125,2019-07-01,"female",100,"silver",1,"vanilla","yes","<100K","yes",10,1
126,2019-07-01,"female",100,"black",9,"vanilla","yes","<100K","yes",9,1
127,2019-07-01,"female",100,"red",0,"vanilla","yes","<100K","yes",5,1
128,2019-07-01,"female",100,"no preference",10,"vanilla","yes","<100K","yes",10,0
129,2019-07-01,"female",100,"silver",9,"vanilla","yes","<100K","yes",9,1
130,2019-07-01,"female",100,"white",3,"vanilla","yes","<100K","yes",10,1
131,2019-07-01,"male",100,"white",10,"vanilla","yes","Not Reported","yes",10,1
132,2019-07-01,"male",100,"no preference",8,"no preference","yes","Not Reported","yes",8,0
133,2019-07-01,"female",100,"silver",1,"swirl","yes","<100K","yes",9,1
134,2019-07-01,"male",100,"white",7,"swirl","yes","Not Reported","yes",7,1
135,2019-07-01,"female",100,"white",6,"swirl","yes","<100K","yes",9,1
136,2019-07-01,"male",100,"silver",1,"swirl","yes","Not Reported","yes",2,0
137,2019-07-01,"female",100,"black",0,"swirl","yes","<100K","yes",2,1
138,2019-07-01,"female",100,"no preference",10,"swirl","yes","<100K","yes",10,0
139,2019-07-01,"male",100,"blue",8,"swirl","yes","Not Reported","yes",8,1
140,2019-07-01,"female",100,"red",1,"swirl","yes","<100K","yes",5,0
141,2019-07-01,"male",100,"blue",3,"swirl","yes","Not Reported","yes",3,1
142,2019-07-01,"male",100,"silver",4,"swirl","yes","Not Reported","yes",10,1
143,2019-07-01,"male",100,"silver",7,"swirl","yes","Not Reported","yes",7,1
144,2019-07-01,"female",100,"black",0,"swirl","yes","<100K","yes",3,0
145,2019-07-01,"female",100,"black",7,"swirl","yes","<100K","yes",9,1
146,2019-07-01,"female",100,"no preference",2,"swirl","yes","<100K","yes",4,0
147,2019-07-01,"female",100,"silver",2,"swirl","yes","<100K","yes",9,1
148,2019-07-01,"male",100,"red",8,"swirl","yes","Not Reported","yes",8,1
149,2019-07-01,"male",100,"no preference",5,"swirl","yes","Not Reported","yes",7,0
150,2019-07-01,"male",100,"white",9,"swirl","yes","Not Reported","yes",9,1
151,2019-07-01,"female",100,"blue",7,"swirl","yes","<100K","yes",7,1
152,2019-07-01,"male",100,"white",9,"swirl","yes","Not Reported","yes",9,1
153,2019-07-01,"female",100,"black",5,"swirl","yes","<100K","yes",9,1
154,2019-07-01,"female",100,"black",1,"swirl","yes","<100K","yes",8,1
155,2019-07-01,"male",100,"red",7,"swirl","yes","Not Reported","yes",7,1
156,2019-07-01,"male",100,"black",0,"swirl","yes","Not Reported","yes",7,0
157,2019-07-01,"female",100,"blue",8,"swirl","yes","<100K","yes",8,1
158,2019-07-01,"female",100,"no preference",5,"swirl","yes","<100K","yes",5,0
159,2019-07-01,"female",100,"blue",8,"swirl","yes","<100K","yes",8,1
160,2019-07-01,"female",100,"silver",4,"swirl","yes","<100K","yes",10,1
161,2019-07-01,"male",100,"black",5,"swirl","yes","Not Reported","yes",9,1
162,2019-07-01,"male",100,"silver",5,"swirl","yes","Not Reported","yes",5,0
163,2019-07-01,"female",100,"red",3,"swirl","yes","<100K","yes",4,1
164,2019-07-01,"male",100,"no preference",3,"swirl","yes","Not Reported","yes",10,0
165,2019-07-01,"female",100,"blue",6,"swirl","yes","<100K","yes",6,1
166,2019-07-01,"female",100,"blue",10,"swirl","yes","<100K","yes",10,1
167,2019-07-01,"female",100,"blue",4,"swirl","yes","<100K","yes",4,1
168,2019-07-01,"female",100,"white",8,"swirl","yes","<100K","yes",8,1
169,2019-07-01,"female",100,"red",10,"swirl","yes","<100K","yes",10,1
170,2019-07-01,"male",100,"silver",5,"swirl","yes","Not Reported","yes",5,0
171,2019-07-01,"male",100,"no preference",9,"swirl","yes","Not Reported","yes",9,0
172,2019-07-01,"male",100,"no preference",6,"swirl","yes","Not Reported","yes",6,0
173,2019-07-01,"female",100,"silver",1,"swirl","yes","<100K","yes",9,1
174,2019-07-01,"male",100,"red",3,"swirl","yes","Not Reported","yes",3,1
175,2019-07-01,"female",100,"red",4,"swirl","yes","<100K","yes",6,0
176,2019-07-01,"female",100,"red",6,"swirl","yes","<100K","yes",6,1
177,2019-07-01,"male",100,"no preference",3,"swirl","yes","Not Reported","yes",9,0
178,2019-07-01,"female",100,"black",0,"swirl","yes","<100K","yes",4,1
179,2019-07-01,"male",100,"white",9,"swirl","yes","Not Reported","yes",9,1
180,2019-07-01,"female",100,"white",1,"swirl","yes","<100K","yes",6,0
181,2019-07-01,"female",100,"silver",8,"swirl","yes","<100K","yes",9,1
182,2019-07-01,"male",100,"red",5,"swirl","yes","Not Reported","yes",10,1
183,2019-07-01,"female",100,"silver",5,"swirl","yes","<100K","yes",7,0
184,2019-07-01,"female",100,"blue",8,"swirl","yes","<100K","yes",8,1
185,2019-07-01,"female",100,"black",1,"swirl","yes","<100K","yes",1,1
186,2019-07-01,"male",100,"silver",6,"swirl","yes","Not Reported","yes",6,0
187,2019-07-01,"female",100,"silver",6,"swirl","yes","<100K","yes",6,1
188,2019-07-01,"male",100,"silver",1,"swirl","yes","Not Reported","yes",2,1
189,2019-07-01,"female",100,"white",8,"swirl","yes","<100K","yes",8,1
190,2019-07-01,"male",100,"red",0,"swirl","yes","Not Reported","yes",9,1
191,2019-07-01,"female",100,"white",9,"swirl","yes","<100K","yes",9,1
192,2019-07-01,"female",100,"silver",6,"swirl","yes","<100K","yes",7,0
193,2019-07-01,"male",100,"white",2,"swirl","yes","Not Reported","yes",10,1
194,2019-07-01,"female",100,"white",4,"swirl","yes","<100K","yes",4,1
195,2019-07-01,"female",100,"no preference",2,"swirl","yes","<100K","yes",2,0
196,2019-07-01,"male",100,"black",3,"swirl","yes","Not Reported","yes",6,1
197,2019-07-01,"male",100,"no preference",7,"swirl","yes","Not Reported","yes",7,0
198,2019-07-01,"male",100,"red",10,"swirl","yes","Not Reported","yes",10,1
199,2019-07-01,"female",100,"white",7,"swirl","yes","<100K","yes",7,0
200,2019-07-01,"female",100,"silver",0,"swirl","yes","<100K","yes",1,0
201,2019-07-01,"male",100,"blue",8,"swirl","yes","Not Reported","yes",8,1
202,2019-07-01,"male",100,"no preference",6,"swirl","yes","Not Reported","yes",9,0
203,2019-07-01,"male",100,"black",7,"swirl","yes","Not Reported","yes",7,1
204,2019-07-01,"female",100,"white",5,"swirl","yes","<100K","yes",8,1
205,2019-07-01,"female",100,"black",3,"swirl","yes","<100K","yes",8,1
206,2019-07-01,"female",100,"black",10,"swirl","yes","<100K","yes",10,1
207,2019-07-01,"male",100,"no preference",7,"swirl","yes","Not Reported","yes",7,0
208,2019-07-01,"male",100,"blue",0,"swirl","yes","Not Reported","yes",7,0
209,2019-07-01,"female",100,"black",9,"swirl","yes","<100K","yes",9,1
210,2019-07-01,"female",100,"no preference",2,"swirl","yes","<100K","yes",2,0
211,2019-07-01,"male",100,"no preference",1,"swirl","yes","Not Reported","yes",10,0
212,2019-07-01,"male",100,"blue",10,"swirl","yes","Not Reported","yes",10,1
213,2019-07-01,"female",100,"silver",4,"swirl","yes","<100K","yes",9,1
214,2019-07-01,"male",100,"no preference",0,"swirl","yes","Not Reported","yes",1,0
215,2019-07-01,"female",100,"white",7,"swirl","yes","<100K","yes",7,1
216,2019-07-01,"male",100,"white",6,"swirl","yes","Not Reported","yes",7,0
217,2019-07-01,"female",100,"black",4,"swirl","yes","<100K","yes",10,1
218,2019-07-01,"female",100,"blue",3,"swirl","yes","<100K","yes",9,1
219,2019-07-01,"female",100,"blue",2,"swirl","yes","<100K","yes",6,1
220,2019-07-01,"female",100,"blue",2,"swirl","yes","<100K","yes",2,1
221,2019-07-01,"male",100,"white",8,"swirl","yes","Not Reported","yes",8,1
222,2019-07-01,"male",100,"white",9,"swirl","yes","Not Reported","yes",9,1
223,2019-07-01,"female",100,"no preference",10,"swirl","yes","<100K","yes",10,0
224,2019-07-01,"female",100,"blue",2,"swirl","yes","<100K","yes",6,1
225,2019-07-01,"female",100,"red",2,"swirl","yes","<100K","yes",5,1
226,2019-07-01,"female",100,"silver",2,"swirl","yes","<100K","yes",10,1
227,2019-07-01,"female",100,"black",7,"swirl","yes","<100K","yes",7,0
228,2019-07-01,"male",100,"red",5,"swirl","yes","Not Reported","yes",5,0
229,2019-07-01,"female",100,"black",0,"swirl","yes","<100K","yes",8,1
230,2019-07-01,"female",100,"white",1,"swirl","yes","<100K","yes",4,1
231,2019-07-01,"female",100,"black",5,"swirl","yes","<100K","yes",7,0
232,2019-07-01,"female",100,"blue",5,"swirl","yes","<100K","yes",9,1
233,2019-07-01,"male",100,"black",6,"swirl","yes","Not Reported","yes",6,0
234,2019-07-01,"male",100,"white",1,"swirl","yes","Not Reported","yes",8,1
235,2019-07-01,"female",100,"white",5,"swirl","yes","<100K","yes",6,1
236,2019-07-01,"female",100,"no preference",9,"swirl","yes","<100K","yes",9,0
237,2019-07-01,"female",100,"red",9,"swirl","yes","<100K","yes",9,1
238,2019-07-01,"female",100,"silver",1,"swirl","yes","<100K","yes",3,0
239,2019-07-01,"female",100,"black",8,"swirl","yes","<100K","yes",8,1
240,2019-07-01,"female",100,"silver",9,"swirl","yes","<100K","yes",9,1
241,2019-07-01,"male",100,"red",10,"swirl","yes","Not Reported","yes",10,1
242,2019-07-01,"female",100,"silver",7,"swirl","yes","<100K","yes",7,1
243,2019-07-01,"female",100,"no preference",4,"swirl","yes","<100K","yes",8,0
244,2019-07-01,"male",100,"white",10,"swirl","yes","Not Reported","yes",10,1
245,2019-07-01,"female",100,"black",4,"swirl","yes","<100K","yes",4,0
246,2019-07-01,"male",100,"silver",8,"swirl","yes","Not Reported","yes",8,1
247,2019-07-01,"male",100,"white",7,"swirl","yes","Not Reported","yes",7,1
248,2019-07-01,"male",100,"white",5,"swirl","yes","Not Reported","yes",7,1
249,2019-07-01,"male",100,"no preference",4,"swirl","yes","Not Reported","yes",4,0
250,2019-07-01,"female",100,"silver",3,"swirl","yes","<100K","yes",5,1
251,2019-07-01,"female",100,"white",5,"swirl","yes","<100K","yes",6,1
252,2019-07-01,"female",100,"silver",5,"swirl","yes","<100K","yes",5,0
253,2019-07-01,"female",100,"silver",6,"swirl","yes","<100K","yes",6,0
254,2019-07-01,"female",100,"silver",4,"swirl","yes","<100K","yes",6,0
255,2019-07-01,"male",100,"silver",7,"swirl","yes","Not Reported","yes",9,1
256,2019-07-01,"female",100,"blue",2,"swirl","yes","<100K","yes",8,1
257,2019-07-01,"female",100,"red",4,"swirl","yes","<100K","yes",6,1
258,2019-07-01,"male",100,"no preference",10,"swirl","yes","Not Reported","yes",10,0
259,2019-07-01,"female",100,"red",5,"swirl","yes","<100K","yes",5,0
260,2019-07-01,"female",100,"black",9,"swirl","yes","<100K","yes",9,1
261,2019-07-01,"female",100,"silver",4,"swirl","yes","<100K","yes",4,0
262,2019-07-01,"male",100,"silver",8,"swirl","yes","Not Reported","yes",8,1
263,2019-07-01,"female",100,"no preference",4,"swirl","yes","<100K","yes",7,0
264,2019-07-01,"male",100,"white",7,"swirl","yes","Not Reported","yes",7,0
265,2019-07-01,"female",100,"white",6,"swirl","yes","<100K","yes",6,0
266,2019-07-01,"female",100,"silver",4,"swirl","yes","<100K","yes",5,1
267,2019-07-01,"female",100,"white",5,"swirl","yes","<100K","yes",6,1
268,2019-07-01,"female",100,"blue",9,"swirl","yes","<100K","yes",9,1
269,2019-07-01,"female",100,"no preference",5,"swirl","yes","<100K","yes",10,0
270,2019-07-01,"male",100,"no preference",7,"swirl","yes","Not Reported","yes",7,0
271,2019-07-01,"female",100,"black",8,"swirl","yes","<100K","yes",8,1
272,2019-07-01,"female",100,"no preference",8,"swirl","yes","<100K","yes",10,0
273,2019-07-01,"female",100,"blue",4,"swirl","yes","<100K","yes",5,0
274,2019-07-01,"female",100,"red",10,"swirl","yes","<100K","yes",10,1
275,2019-07-01,"female",100,"blue",3,"swirl","yes","<100K","yes",3,1
276,2019-07-01,"female",100,"white",10,"swirl","yes","<100K","yes",10,1
277,2019-07-01,"male",100,"no preference",6,"swirl","yes","Not Reported","yes",6,0
278,2019-07-01,"male",100,"blue",9,"swirl","yes","Not Reported","yes",9,1
279,2019-07-01,"male",100,"silver",3,"swirl","yes","Not Reported","yes",7,1
280,2019-07-01,"female",100,"red",6,"swirl","yes","<100K","yes",6,1
281,2019-07-01,"female",100,"red",8,"specialty","yes","<100K","yes",8,1
282,2019-07-01,"female",100,"no preference",3,"chocolate","yes","<100K","yes",6,0
283,2019-07-01,"female",100,"blue",4,"swirl","yes","<100K","yes",4,1
284,2019-07-01,"female",100,"blue",3,"swirl","yes","<100K","yes",3,1
285,2019-07-01,"male",100,"no preference",8,"no preference","yes","Not Reported","yes",8,0
286,2019-07-01,"female",100,"blue",2,"specialty","yes","<100K","yes",3,0
287,2019-07-01,"female",100,"no preference",8,"vanilla","yes","<100K","yes",8,0
288,2019-07-01,"female",100,"silver",5,"swirl","yes","<100K","yes",10,1
289,2019-07-01,"male",100,"no preference",8,"no preference","yes","Not Reported","yes",9,0
290,2019-07-01,"male",100,"white",9,"specialty","yes","Not Reported","yes",9,1
291,2019-07-01,"male",100,"white",6,"specialty","yes","Not Reported","yes",6,0
292,2019-07-01,"female",100,"black",2,"swirl","yes","<100K","yes",8,1
293,2019-07-01,"female",100,"black",9,"chocolate","yes","<100K","yes",9,1
294,2019-07-01,"female",100,"blue",4,"vanilla","yes","<100K","yes",9,1
295,2019-07-01,"female",100,"blue",1,"swirl","yes","<100K","yes",6,1
296,2019-07-01,"female",100,"no preference",4,"chocolate","yes","<100K","yes",5,0
297,2019-07-01,"female",100,"silver",4,"chocolate","yes","<100K","yes",7,1
298,2019-07-01,"female",100,"blue",10,"specialty","yes","<100K","yes",10,1
299,2019-07-01,"female",100,"no preference",1,"chocolate","yes","<100K","yes",6,0
300,2019-07-01,"male",100,"no preference",6,"swirl","yes","Not Reported","yes",6,0
301,2019-07-01,"male",100,"black",7,"chocolate","yes","Not Reported","yes",7,1
302,2019-07-01,"male",100,"no preference",9,"no preference","yes","Not Reported","yes",9,0
303,2019-07-01,"male",100,"blue",7,"vanilla","yes","Not Reported","yes",8,1
304,2019-07-01,"female",100,"silver",7,"no preference","yes","<100K","yes",9,0
305,2019-07-01,"female",100,"blue",1,"chocolate","yes","<100K","yes",8,1
306,2019-07-01,"male",100,"white",9,"specialty","yes","Not Reported","yes",9,1
307,2019-07-01,"female",100,"no preference",10,"vanilla","yes","<100K","yes",10,0
308,2019-07-01,"male",100,"no preference",4,"swirl","yes","Not Reported","yes",6,0
309,2019-07-01,"male",100,"black",3,"chocolate","yes","Not Reported","yes",6,1
310,2019-07-01,"female",100,"no preference",7,"chocolate","yes","<100K","yes",7,0
311,2019-07-01,"male",100,"no preference",10,"no preference","yes","Not Reported","yes",10,0
312,2019-07-01,"female",100,"silver",9,"chocolate","yes","<100K","yes",9,1
313,2019-07-01,"female",100,"silver",6,"chocolate","yes","<100K","yes",9,1
314,2019-07-01,"female",100,"silver",10,"no preference","yes","<100K","yes",10,1
315,2019-07-01,"female",100,"red",1,"chocolate","yes","<100K","yes",5,1
316,2019-07-01,"female",100,"blue",5,"vanilla","yes","<100K","yes",5,0
317,2019-07-01,"female",100,"no preference",9,"swirl","yes","<100K","yes",9,0
318,2019-07-01,"female",100,"silver",4,"specialty","yes","<100K","yes",4,1
319,2019-07-01,"male",100,"blue",4,"specialty","yes","Not Reported","yes",7,0
320,2019-07-01,"male",100,"silver",10,"specialty","yes","Not Reported","yes",10,1
321,2019-07-01,"female",100,"black",10,"chocolate","yes","<100K","yes",10,1
322,2019-07-01,"female",100,"red",4,"no preference","yes","<100K","yes",6,0
323,2019-07-01,"female",100,"silver",5,"no preference","yes","<100K","yes",5,0
324,2019-07-01,"female",100,"blue",4,"vanilla","yes","<100K","yes",6,0
325,2019-07-01,"male",100,"blue",4,"swirl","yes","Not Reported","yes",4,0
326,2019-07-01,"male",100,"black",1,"specialty","yes","Not Reported","yes",10,1
327,2019-07-01,"male",100,"no preference",10,"swirl","yes","Not Reported","yes",10,0
328,2019-07-01,"female",100,"no preference",2,"specialty","yes","<100K","yes",3,0
329,2019-07-01,"female",100,"red",8,"swirl","yes","<100K","yes",8,1
330,2019-07-01,"female",100,"white",1,"vanilla","yes","<100K","yes",8,1
331,2019-07-01,"female",100,"black",2,"chocolate","yes","<100K","yes",9,1
332,2019-07-01,"female",100,"no preference",2,"no preference","yes","<100K","yes",5,0
333,2019-07-01,"male",100,"black",1,"chocolate","yes","Not Reported","yes",5,1
334,2019-07-01,"female",100,"black",5,"no preference","yes","<100K","yes",5,0
335,2019-07-01,"female",100,"no preference",9,"vanilla","yes","<100K","yes",9,0
336,2019-07-01,"female",100,"no preference",0,"chocolate","yes","<100K","yes",8,0
337,2019-07-01,"female",100,"no preference",5,"specialty","yes","<100K","yes",5,0
338,2019-07-01,"male",100,"black",6,"no preference","yes","Not Reported","yes",6,0
339,2019-07-01,"female",100,"white",10,"no preference","yes","<100K","yes",10,1
340,2019-07-01,"female",100,"white",2,"chocolate","yes","<100K","yes",6,1
341,2019-07-01,"male",100,"no preference",3,"specialty","yes","Not Reported","yes",9,0
342,2019-07-01,"male",100,"white",1,"specialty","yes","Not Reported","yes",6,0
343,2019-07-01,"female",100,"blue",8,"swirl","yes","<100K","yes",8,1
344,2019-07-01,"female",100,"silver",6,"specialty","yes","<100K","yes",6,0
345,2019-07-01,"male",100,"white",6,"no preference","no","Not Reported","yes",6,0
